Name,Nickname,Weight Class,Record,Knockouts,Submissions,First Round Finishes,,,,,,,,,,,,,,,,,,,,,,,,,,
Irene Aldana,None,Women's Bantamweight Division,14-6-0 (W-L-D),8,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilbert Aldana,"""El Peligroso""",Heavyweight Division,5-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Jose Alday,None,Bantamweight Division,0-1-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
José Aldo,None,Bantamweight Division,31-8-0 (W-L-D),17,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,
JJ Aldrich,None,Women's Flyweight Division,11-5-0 (W-L-D),2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Alers,"""The Beast""",Featherweight Division,13-3-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
John Alessio,"""The Natural""",Lightweight Division,34-16-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Houston Alexander,"""The Assassin""",Light Heavyweight Division,9-5-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucas Alexander,"""The Lion """,Featherweight Division,7-3-0 (W-L-D),3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcio Alexandre,"""Lyoto""",Middleweight Division,13-3-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Olaf Alfonso,None,Welterweight Division,0-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Bill Algeo,"""Senor Perfecto""",Featherweight Division,16-7-0 (W-L-D),4,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Royce Alger,None,Middleweight Division,0-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Abdul Razak Alhassan,None,Middleweight Division,12-5-0 (W-L-D),12,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,
Amir Aliakbari,None,Heavyweight Division,0-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Sultan Aliev,None,Welterweight Division,15-3-0 (W-L-D),10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Nurullo Aliev,None,Lightweight Division,7-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Ikram Aliskerov,None,Middleweight Division,1-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Leon Aliu,None,Middleweight Division,0-1-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
John Allan,None,Light Heavyweight Division,13-7-0 (W-L-D),9,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Brendan Allen,"""All In""",Middleweight Division,20-5-0 (W-L-D),5,11,10,,,,,,,,,,,,,,,,,,,,,,,,,,
Arnold Allen,"""Almighty""",Featherweight Division,19-1-0 (W-L-D),7,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Benny Alloway,"""Blanco""",Welterweight Division,13-6-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Estefani Almeida,None,Women's Flyweight Division,0-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Almeida,"""Thominhas""",Bantamweight Division,22-5-0 (W-L-D),17,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Ericka Almeida,None,Women's Strawweight Division,7-2-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Ricardo Almeida,"""Big Dog""",Welterweight Division,13-4-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucas Almeida,None,Featherweight Division,14-1-0 (W-L-D),9,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,
Jailton Almeida,"""Malhadinho""",Heavyweight Division,18-2-0 (W-L-D),7,11,13,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarah Alpar,"""Too Sweet""",Women's Flyweight Division,9-6-0 (W-L-D),2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Victor Altamirano,"""El Magnifico""",Flyweight Division,2-1-0 (W-L-D),1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaime Alvarez,None,Flyweight Division,7-1-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Eddie Alvarez,"""The Underground King""",Lightweight Division,29-6-0 (W-L-D),18,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Sean Alvarez,None,Heavyweight Division,4-3-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Joel Álvarez,"""El Fenomeno""",Lightweight Division,19-3-0 (W-L-D),3,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Amilcar Alves,"""The Terminator""",Welterweight Division,11-3-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Thiago Alves,"""Pitbull""",Welterweight Division,28-15-0 (W-L-D),13,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rafael Alves,"""The Turn""",Lightweight Division,20-11-0 (W-L-D),7,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,
Warlley Alves,None,Welterweight Division,15-6-0 (W-L-D),4,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,
