Name,Nickname,Weight Class,Record,Knockouts,Submissions,First Round Finishes,,,,,,,,,,,,,,,,,,,,,,,,,,
Cezar Ferreira,"""Mutante""",Middleweight Division,14-8-0 (W-L-D),4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandre Ferreira,"""Cacareco""",Light Heavyweight Division,18-7-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Erisson Ferreira,None,Flyweight Division,1-1-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunno Ferreira,None,Middleweight Division,10-0-0 (W-L-D),7,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,
Scott Ferrozzo,None,Heavyweight Division,0-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Timo Feucht,None,Light Heavyweight Division,0-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Andre Fialho,None,Welterweight Division,16-6-0 (W-L-D),13,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,
Drew Fickett,"""The Master""",Welterweight Division,31-5-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Scott Fielder,None,,0-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Test Fighter2,None,None,None,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Michal Figlak,"""Mad Dog """,Lightweight Division,8-1-0 (W-L-D),4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco Figueiredo,"""Sniper""",Flyweight Division,13-5-1 (W-L-D),3,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,
Deiveson Figueiredo,"""Deus da Guerra""",Flyweight Division,21-3-1 (W-L-D),9,8,11,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwin Figueroa,"""El Feroz""",Bantamweight Division,9-4-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Jafel Filho,None,Flyweight Division,14-2-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Andre Fili,"""Touchy""",Featherweight Division,22-9-0 (W-L-D),9,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,
Luigi Fioravanti,None,Welterweight Division,13-5-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Fiore,None,Lightweight Division,6-1-0 (W-L-D),2,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,
Manon Fiorot,"""The Beast""",Women's Flyweight Division,10-1-0 (W-L-D),6,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,
Spencer Fisher,"""The King""",Lightweight Division,25-9-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Fishgold,None,Featherweight Division,18-4-1 (W-L-D),2,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Jon Fitch,None,Welterweight Division,27-5-1 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Isi Fitikefu,None,Light Heavyweight Division,0-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rafael Fiziev,"""Ataman""",Lightweight Division,12-1-0 (W-L-D),8,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,
Colin Fletcher,"""The Freakshow""",Lightweight Division,9-3-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
AJ Fletcher,"""The Ghost""",Welterweight Division,9-2-0 (W-L-D),4,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,
Jimmy Flick,"""The Brick""",Flyweight Division,16-6-0 (W-L-D),0,14,8,,,,,,,,,,,,,,,,,,,,,,,,,,
Luke Flores,None,Lightweight Division,7-2-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Ty Flores,None,Light Heavyweight Division,0-1-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Alejandro Flores,None,Featherweight Division,0-1-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenny Florian,"""KenFlo""",Featherweight Division,16-6-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Darrius Flowers,"""Beastmode""",Welterweight Division,12-5-1 (W-L-D),8,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,
Caros Fodor,"""The Future""",Lightweight Division,7-3-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rob Font,None,Bantamweight Division,19-6-0 (W-L-D),8,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,
Jesse Forbes,None,Middleweight Division,13-6-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Jussier Formiga,None,Flyweight Division,23-8-0 (W-L-D),0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Brianna Fortino,"""The Bull""",Women's Strawweight Division,9-3-0 (W-L-D),2,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcel Fortuna,"""Maozinha""",Light Heavyweight Division,9-3-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Foster,None,Welterweight Division,17-5-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Xavier Foupa-Pokam,"""The Professor X""",Middleweight Division,20-11-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Glaico Franca,"""Nego""",Lightweight Division,14-5-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Hermes Franca,"""The Unreal""",Lightweight Division,20-8-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Kai Kara-France,"""Don't Blink""",Flyweight Division,24-10-0 (W-L-D),11,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,
Rich Franklin,"""Ace""",Middleweight Division,29-7-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Stephanie Frausto,None,Women's Strawweight Division,0-1-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Justin Frazier,"""The Grizzlybear""",Heavyweight Division,0-1-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Zane Frazier,"""Nasty""",Heavyweight Division,0-2-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Ian Freeman,"""The Machine""",Heavyweight Division,14-6-1 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Willamy Freire,"""Chiquerim""",Lightweight Division,17-4-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Donavon Frelow,None,Bantamweight Division,6-3-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Fremd,None,Middleweight Division,9-5-0 (W-L-D),4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Frevola,"""The SteamRolla""",Lightweight Division,10-3-1 (W-L-D),3,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,
Jinh Yu Frey,None,Women's Strawweight Division,11-8-0 (W-L-D),1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Artem Frolov,None,Middleweight Division,0-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Waylon Frost,"""Ice Cold""",None,None,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarah Frota,"""A Treta""",Women's Flyweight Division,9-2-0 (W-L-D),2,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Don Frye,"""The Predator""",Heavyweight Division,11-1-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Fryklund,"""The Freak""",Middleweight Division,11-4-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Fugitt,None,Welterweight Division,9-3-0 (W-L-D),4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Katsuhisa Fuji,None,,0-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Riki Fukuda,None,Middleweight Division,19-7-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Masio Fullen,None,Featherweight Division,10-6-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam Fulton,None,Heavyweight Division,0-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Travis Fulton,None,Heavyweight Division,0-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Ricardo Funch,"""Golden Boy""",Welterweight Division,8-4-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Gustavo Gabriel,None,Flyweight Division,0-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Claudia Gadelha,"""Claudinha""",Women's Strawweight Division,18-5-0 (W-L-D),2,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Justin Gaethje,"""The Highlight""",Lightweight Division,23-4-0 (W-L-D),19,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheila Gaff,"""The German Tank""",Women's Bantamweight Division,10-6-1 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitch Gagnon,None,Bantamweight Division,12-5-0 (W-L-D),1,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Dave Galera,"""Scarecrow""",Bantamweight Division,5-1-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Mickey Gall,None,Welterweight Division,7-5-0 (W-L-D),0,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Gallemore,None,Heavyweight Division,0-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Tom Gallicchio,"""Da Tank""",Welterweight Division,19-11-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Joey Gambino,"""The Raging Warrior""",Featherweight Division,9-2-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Manny Gamburyan,"""The Anvil""",Bantamweight Division,18-11-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Mateusz Gamrot,"""Gamer""",Lightweight Division,21-2-0 (W-L-D),7,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Shamil Gamzatov,None,Light Heavyweight Division,14-1-0 (W-L-D),5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Ariel Gandulla,None,Middleweight Division,4-0-1 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Ciryl Gane,"""Bon Gamin""",Heavyweight Division,11-1-0 (W-L-D),5,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Sean Gannon,"""The Cannon""",Heavyweight Division,1-1-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Luiz Garagorri,None,Featherweight Division,13-2-0 (W-L-D),4,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Cody Garbrandt,"""No Love""",Bantamweight Division,12-5-0 (W-L-D),10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Elias Garcia,None,Flyweight Division,6-2-0 (W-L-D),2,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Leonard Garcia,"""Bad Boy""",Featherweight Division,19-11-1 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Edgar Garcia,None,Welterweight Division,14-5-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Garcia,"""The Dominican Nightmare""",Welterweight Division,15-5-0 (W-L-D),6,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Steve Garcia,"""Mean Machine""",Featherweight Division,13-5-0 (W-L-D),10,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Fernie Garcia,None,Bantamweight Division,10-3-0 (W-L-D),3,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Rafa Garcia,"""Gifted""",Lightweight Division,15-3-0 (W-L-D),0,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,
Pablo Garza,"""The Scarecrow """,Featherweight Division,13-4-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Azamat Gashimov,None,Flyweight Division,10-3-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Jesus Gaspar Diaz,None,None,None,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Gassaway,"""Mandingo""",Welterweight Division,24-17-3 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Kelvin Gastelum,None,Middleweight Division,17-8-0 (W-L-D),7,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Willie Gates,"""Whoop Ass""",Flyweight Division,12-7-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Melissa Gatto,None,Women's Flyweight Division,8-1-2 (W-L-D),2,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Louis Gaudinot,"""Goodnight""",Flyweight Division,6-4-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Manuel Gaxhja,None,Lightweight Division,0-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Georgieff,None,Welterweight Division,7-2-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Geraghty,"""Duke""",Lightweight Division,24-9-2 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Karine Gevorgyan,"""Princess""",Women's Flyweight Division,3-3-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Darrel Gholar,None,Middleweight Division,0-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiki Ghosn,None,Welterweight Division,8-5-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Christos Giagos,"""The Spartan""",Lightweight Division,19-10-0 (W-L-D),7,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Giannetti,"""Skeletor""",Lightweight Division,7-1-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
James Giboo,None,Welterweight Division,11-3-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Cody Gibson,"""The Renegade""",Bantamweight Division,12-6-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Chase Gibson,None,Lightweight Division,0-1-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Lance Gibson,"""Fearless""",Middleweight Division,0-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Gifford,"""The Young Lion""",Lightweight Division,17-9-0 (W-L-D),3,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Sergio Giglio,None,None,None,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Gigliotti,"""Capo""",Middleweight Division,7-2-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Joey Gilbert,None,Lightweight Division,0-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Trevin Giles,None,Welterweight Division,15-4-0 (W-L-D),6,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Gregor Gillespie,"""The Gift""",Lightweight Division,14-1-0 (W-L-D),8,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Jason Gilliam,"""The Gizzard""",Welterweight Division,11-1-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Micheal Gillmore,"""The Gentleman""",Welterweight Division,6-5-0 (W-L-D),3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Gilpin,None,Featherweight Division,10-1-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Bob Gilstrap,None,Middleweight Division,0-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
He-Man Gipson,None,,0-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Ricky Glenn,"""The Gladiator""",Lightweight Division,22-6-2 (W-L-D),13,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Godbeer,"""The Hand Of""",Heavyweight Division,13-3-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Loopy Godinez,None,Women's Strawweight Division,8-3-0 (W-L-D),1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Jason Godsey,None,Heavyweight Division,0-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Allan Goes,None,Middleweight Division,0-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Billy Goff,None,Welterweight Division,8-2-0 (W-L-D),6,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Amiran Gogoladze,None,Welterweight Division,0-1-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Hannah Goldy,"""24K""",Women's Flyweight Division,6-3-0 (W-L-D),1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcelo Golm,None,Heavyweight Division,6-3-0 (W-L-D),5,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Denise Gomes,"""Dee""",Women's Strawweight Division,6-2-0 (W-L-D),4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Luis Gomez,"""Tiger Junior""",Featherweight Division,4-1-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Ulysses Gomez,"""Useless""",Flyweight Division,9-4-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Joey Gomez,"""KO King""",Bantamweight Division,6-2-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Joey Gomez,None,Lightweight Division,7-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Edson Gomez,None,Welterweight Division,0-1-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Takanori Gomi,"""The Fireball Kid""",Lightweight Division,35-14-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
William Gomis,"""Jaguar""",Featherweight Division,11-2-0 (W-L-D),6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Akihiro Gono,"""The Japanese Sensation""",Welterweight Division,28-14-7 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabriel Gonzaga,"""Napao""",Heavyweight Division,17-11-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Justin Gonzales,"""J-Train""",Featherweight Division,9-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Pearl Gonzalez,None,Women's Strawweight Division,6-2-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Jason Gonzalez,"""Nicoya""",Lightweight Division,11-5-0 (W-L-D),4,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Mikey Gonzalez,None,Lightweight Division,0-1-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Erick Gonzalez,"""The Ghost Pepper""",Lightweight Division,14-7-0 (W-L-D),8,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,
Lewis Gonzalez,"""""Lethal""""",Welterweight Division,10-2-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Jennifer Gonzalez,"""La Jefa""",Women's Flyweight Division,0-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Jorge Gonzalez,"""Street""",Light Heavyweight Division,16-4-0 (W-L-D),12,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Lyman Good,"""Cyborg""",Welterweight Division,21-6-0 (W-L-D),11,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Jared Gooden,"""Nite Train""",Welterweight Division,18-7-0 (W-L-D),8,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Gary Goodridge,None,Heavyweight Division,0-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Gerard Gordeau,None,,2-1-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Tebaris Gordon,"""Boom""",Heavyweight Division,3-1-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Eddie Gordon,"""Truck""",Middleweight Division,8-4-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Malcolm Gordon,"""X""",Flyweight Division,14-6-0 (W-L-D),5,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,
Jared Gordon,"""Flash""",Lightweight Division,19-6-0 (W-L-D),6,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Tresean Gore,"""Mr. Vicious""",Middleweight Division,5-2-0 (W-L-D),2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Gorgees,"""Hitman""",Lightweight Division,7-1-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Themba Gorimbo,None,Welterweight Division,0-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Tim Gorman,"""The Psycho""",Bantamweight Division,9-4-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Chase Gormley,None,Heavyweight Division,6-2-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan Goulet,"""The Road Warrior""",Welterweight Division,22-11-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Thibault Gouti,"""GT""",Lightweight Division,12-5-0 (W-L-D),4,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Wilson Gouveia,None,Middleweight Division,12-7-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Damian Grabowski,"""The Polish Pitbull""",Heavyweight Division,20-5-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Kron Gracie,None,Featherweight Division,5-1-0 (W-L-D),0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Roger Gracie,None,Middleweight Division,6-2-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rolles Gracie,None,Heavyweight Division,3-1-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Renzo Gracie,None,Welterweight Division,13-7-1 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Royce Gracie,None,Middleweight Division,13-2-2 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Steven Graham,None,Heavyweight Division,0-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Miranda Granger,"""Danger""",Women's Strawweight Division,7-3-0 (W-L-D),1,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Dwight Grant,"""The Body Snatcher""",Middleweight Division,11-6-0 (W-L-D),7,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Davey Grant,"""Dangerous""",Bantamweight Division,14-6-0 (W-L-D),4,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,
TJ Grant,None,Lightweight Division,21-5-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexa Grasso,None,Women's Flyweight Division,15-3-0 (W-L-D),4,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Tony Gravely,None,Bantamweight Division,23-8-0 (W-L-D),10,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Shelton Graves,"""“The Gravedigger”""",Heavyweight Division,7-3-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Graves,None,Welterweight Division,6-0-1 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Gray,"""Pocket Herc""",Flyweight Division,9-4-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
James Gray,"""The Phenom""",Bantamweight Division,4-2-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Desmond Green,"""The Predator""",Lightweight Division,23-8-0 (W-L-D),6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabriel Green,"""Gifted""",Welterweight Division,11-4-0 (W-L-D),4,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Bobby Green,"""King""",Lightweight Division,29-14-1 (W-L-D),10,8,10,,,,,,,,,,,,,,,,,,,,,,,,,,
Maurice Greene,"""The Crochet Boss""",Heavyweight Division,9-7-0 (W-L-D),2,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Grice,"""The Real One""",Featherweight Division,15-5-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Griffin,"""NativePsycho""",Featherweight Division,18-9-0 (W-L-D),5,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyson Griffin,None,Featherweight Division,15-6-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Forrest Griffin,None,Light Heavyweight Division,19-7-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Max Griffin,"""Pain""",Welterweight Division,19-9-0 (W-L-D),9,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad Griggs,"""The Grave Digger""",Light Heavyweight Division,11-3-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Maxim Grishin,"""Maximus""",Heavyweight Division,32-9-2 (W-L-D),16,6,16,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Grispi,"""The Fluke""",Featherweight Division,14-5-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Garrett Gross,"""Glory to God""",Lightweight Division,11-8-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Kendall Grove,"""Da Spyder""",Middleweight Division,14-9-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Neil Grove,"""Goliath""",Heavyweight Division,7-2-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Gruetzemacher,"""Gritz""",Lightweight Division,15-5-0 (W-L-D),7,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Vik Grujic,"""The Spartan""",Welterweight Division,7-5-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Grundy,None,Featherweight Division,12-4-0 (W-L-D),1,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Wang Guan,"""The Dongbei Tiger""",Featherweight Division,20-1-1 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Ning Guangyou,None,Bantamweight Division,6-4-1 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Nandor Guelmino,"""The Hun""",Heavyweight Division,11-5-1 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Shannon Gugerty,None,Lightweight Division,12-6-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Clay Guida,"""The Carpenter""",Lightweight Division,38-19-0 (W-L-D),7,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,
